week,region,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,Return_EEM,Return_GLD,Return_ITA,Return_USO,Return_VIX
2018-05-28/2018-06-03,Europe,0.6006036585365854,0.9158536585365854,5.991464547107983,False,-0.001752692702596901,-0.0058450362545051995,-0.0006200430309535997,-0.0311268288159319,0.07035859162299948
2018-05-28/2018-06-03,Middle East,0.06423076923076923,0.2564102564102564,4.14507756854018,True,-0.001752692702596901,-0.0058450362545051995,-0.0006200430309535997,-0.0311268288159319,0.07035859162299948
2018-05-28/2018-06-03,Northern Africa,0.16633333333333333,0.4,2.131960484553987,True,-0.001752692702596901,-0.0058450362545051995,-0.0006200430309535997,-0.0311268288159319,0.07035859162299948
2018-06-04/2018-06-10,Caucasus and Central Asia,0.06569444444444444,0.08333333333333333,1.9234906476124327,True,0.0003130513358218002,0.0042454729097679,0.019484115473596138,0.0017172686497670007,-0.0952514976591679
2018-06-04/2018-06-10,Europe,0.5303597560975609,0.8256097560975609,5.991464547107983,False,0.0003130513358218002,0.0042454729097679,0.019484115473596138,0.0017172686497670007,-0.0952514976591679
2018-06-04/2018-06-10,Middle East,0.046217948717948716,0.20512820512820512,3.458136365643839,True,0.0003130513358218002,0.0042454729097679,0.019484115473596138,0.0017172686497670007,-0.0952514976591679
2018-06-04/2018-06-10,Northern Africa,0.12966666666666668,0.3333333333333333,1.8782615607689488,True,0.0003130513358218002,0.0042454729097679,0.019484115473596138,0.0017172686497670007,-0.0952514976591679
2018-06-11/2018-06-17,Caucasus and Central Asia,0.07083333333333333,0.3333333333333333,2.261681582322232,True,-0.023948943974433,-0.013518099388534498,-0.030505803013202,-0.01605127234933,-0.013150662055336793
2018-06-11/2018-06-17,Europe,0.5391524390243903,0.8158536585365853,5.991464547107983,False,-0.023948943974433,-0.013518099388534498,-0.030505803013202,-0.01605127234933,-0.013150662055336793
2018-06-11/2018-06-17,Middle East,0.057179487179487176,0.21794871794871795,3.6931095642155576,True,-0.023948943974433,-0.013518099388534498,-0.030505803013202,-0.01605127234933,-0.013150662055336793
2018-06-11/2018-06-17,Northern Africa,0.21866666666666668,0.7333333333333333,2.5917917938597803,True,-0.023948943974433,-0.013518099388534498,-0.030505803013202,-0.01605127234933,-0.013150662055336793
2018-06-18/2018-06-24,Caucasus and Central Asia,0.14958333333333332,0.5,3.5386374021417235,True,-0.0225808155177252,-0.0082559123066712,-0.0255425808459483,0.0733610170674497,0.1553006048867796
2018-06-18/2018-06-24,Europe,0.5304085365853659,0.823170731707317,5.991464547107983,False,-0.0225808155177252,-0.0082559123066712,-0.0255425808459483,0.0733610170674497,0.1553006048867796
2018-06-18/2018-06-24,Middle East,0.05794871794871794,0.1794871794871795,3.910727981568071,True,-0.0225808155177252,-0.0082559123066712,-0.0255425808459483,0.0733610170674497,0.1553006048867796
2018-06-18/2018-06-24,Northern Africa,0.147,0.6,2.206258022634122,True,-0.0225808155177252,-0.0082559123066712,-0.0255425808459483,0.0733610170674497,0.1553006048867796
2018-06-25/2018-07-01,Caucasus and Central Asia,0.15291666666666667,0.5,3.906765069152935,True,-0.0130910505304062,-0.0140946454573683,-0.0042131987394052,0.0729018593331846,0.197882534824388
2018-06-25/2018-07-01,Europe,0.5278170731707317,0.8731707317073171,5.991464547107983,False,-0.0130910505304062,-0.0140946454573683,-0.0042131987394052,0.0729018593331846,0.197882534824388
2018-06-25/2018-07-01,Middle East,0.11416666666666665,0.19230769230769232,5.08536236591992,True,-0.0130910505304062,-0.0140946454573683,-0.0042131987394052,0.0729018593331846,0.197882534824388
2018-06-25/2018-07-01,Northern Africa,0.35500000000000004,0.8,3.907601816158207,True,-0.0130910505304062,-0.0140946454573683,-0.0042131987394052,0.0729018593331846,0.197882534824388
2018-07-02/2018-07-08,Caucasus and Central Asia,0.15166666666666667,0.3611111111111111,3.828885879591292,True,0.0019915967324292006,0.0018768946320734993,0.0060142912233257,-0.0065186859760416,-0.1752094690423885
2018-07-02/2018-07-08,Europe,0.5168841463414634,0.875609756097561,5.991464547107983,False,0.0019915967324292006,0.0018768946320734993,0.0060142912233257,-0.0065186859760416,-0.1752094690423885
2018-07-02/2018-07-08,Middle East,0.03807692307692308,0.20512820512820512,3.134016075801879,True,0.0019915967324292006,0.0018768946320734993,0.0060142912233257,-0.0065186859760416,-0.1752094690423885
