week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap,entropyReliable
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Libya,Tunisia,1.0,False,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Morocco,Sudan,0.385,True,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Morocco,Tunisia,1.0,False,True
2018-04-23/2018-04-29,Northern Africa,3.2279890402370826,Sudan,Tunisia,1.0,False,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Algeria,Egypt,0.755,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Algeria,Libya,0.0,False,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Algeria,Morocco,0.535,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Algeria,Sudan,0.0975,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Algeria,Tunisia,0.525,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Egypt,Libya,0.0,False,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Egypt,Morocco,0.2725,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Egypt,Sudan,0.035,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Egypt,Tunisia,0.2775,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Libya,Morocco,0.9925,False,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Libya,Sudan,0.9525,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Libya,Tunisia,0.9975,False,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Morocco,Sudan,0.07,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Morocco,Tunisia,0.485,True,True
2018-04-30/2018-05-06,Northern Africa,3.689112334679598,Sudan,Tunisia,0.9175,True,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Algeria,Egypt,0.7825,True,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Algeria,Libya,0.0025,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Algeria,Morocco,1.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Algeria,Sudan,0.0675,True,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Algeria,Tunisia,1.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Egypt,Libya,0.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Egypt,Morocco,0.9975,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Egypt,Sudan,0.02,True,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Egypt,Tunisia,1.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Libya,Morocco,1.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Libya,Sudan,0.9075,True,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Libya,Tunisia,1.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Morocco,Sudan,0.0,False,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Morocco,Tunisia,0.5625,True,True
2018-05-07/2018-05-13,Northern Africa,1.826645017290428,Sudan,Tunisia,1.0,False,True
2018-05-14/2018-05-20,Northern Africa,1.630589384856538,Algeria,Egypt,0.9975,True,True
2018-05-14/2018-05-20,Northern Africa,1.630589384856538,Algeria,Libya,0.1175,True,True
2018-05-14/2018-05-20,Northern Africa,1.630589384856538,Algeria,Morocco,1.0,False,True
